# Constructed from biom file
#OTU ID	BillFood4	BillFood5	CarolineMouseFecesD1	CarolineSoilRiverside	DhakeniaMFood2	DhakeniaMSoilCentralPark	JayHumanSkinE2	JaySoilLabSt	KeithMouseFecesE1	KeithSoilRiverside	MattMouseFeces	MattSoilRiverside	OmControl	OmFood1	OmMouseFecesC2	RuichaoFood3	RuichaoHumanSkinD1	VeshHumanSkin	VeshSoilRiverside
k__Bacillati;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Aggregatilineaceae;g__Aggregatilinea	0.0	0.0	0.0	0.0	0.0	39.0	0.0	381.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter	0.0	0.0	0.0	33.0	0.0	231.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Azonexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna	0.0	0.0	0.0	25.0	0.0	403.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;__;__	0.0	302.0	0.0	209.0	0.0	1235.0	0.0	129.0	0.0	550.0	0.0	239.0	0.0	0.0	0.0	0.0	0.0	0.0	510.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	0.0	134.0	0.0	97.0	0.0	589.0	0.0	45.0	0.0	151.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	0.0	142.0	0.0	104.0	0.0	128.0	0.0	293.0	0.0	815.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	697.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0	0.0	0.0	0.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Acidothermales;f__Acidothermaceae;g__Acidothermus	0.0	17.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Fontibacillus	0.0	0.0	0.0	214.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0
k__Bacillati;p__Bacillota;__;__;__;__	0.0	78.0	0.0	594.0	0.0	2175.0	0.0	929.0	0.0	571.0	0.0	793.0	0.0	0.0	0.0	0.0	5.0	0.0	454.0
k__Bacillati;p__Candidatus Melainabacteria;c__Vampirovibriophyceae;o__Vampirovibrionales;f__Vampirovibrionales;g__Vampirovibrio	0.0	0.0	0.0	0.0	0.0	363.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;__;__;__	0.0	339.0	0.0	25.0	0.0	494.0	0.0	140.0	0.0	491.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;__;__;__	0.0	17.0	0.0	0.0	0.0	292.0	0.0	247.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0
k__Bacillati;p__Chloroflexota;c__Tepidiformia;o__Tepidiformales;f__Tepidiformaceae;g__Tepidiforma	0.0	65.0	0.0	244.0	0.0	0.0	0.0	6.0	0.0	33.0	0.0	330.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Domibacillus	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	44.0	0.0	288.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;__	0.0	70.0	0.0	0.0	0.0	315.0	0.0	27.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;__	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;__	0.0	15.0	0.0	169.0	0.0	203.0	0.0	32.0	0.0	266.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0
